1,3.5,2.4
2,3.59,3.8
3,3.65,3.14
4,4.5,4.26
5,4.08,4
6,2.9,2.75
7,2.93,3.36
8,3.72,4.04
9,3.88,4.25
10,3.86,3.88
11,4.5,4.62
12,2.89,2.62
13,3.9,3.58
14,3,3.43
15,2.61,2.51
16,4.21,4.2
17,3.75,3.62
18,3.31,3.12
19,3.41,3.38
20,3.76,3.07
21,3.65,3.34
22,3.39,3.4
23,3.59,3.5
24,3.75,3.33
25,3,3.17
26,3.15,3.22
27,3.8,4
28,4.22,3.6
29,0.88,3
30,3.88,3.34
31,4,4.36
32,3.38,4.14
33,3.3,2.83
34,3.76,3.82
35,2.92,2.17
36,3.52,3.57
37,4.25,3
38,4.29,4.05
39,4,3.56
40,4.75,4.57
41,3.97,3.82
42,3.79,4.07
43,3.33,2.7
44,3.33,3.5
45,3.31,4.25
46,5,5
47,3.4,4
48,3.74,3.4
49,3.69,3.22
50,3.27,3.62
51,3,4
52,3.96,2
53,4.33,3.25
54,4,4.17
55,3.17,4.4
56,3.75,3.12
57,4.38,3.29
58,3.25,3.92
59,2.75,2.65
60,4.25,4.39
61,3.47,3.46
62,4.5,4.24
63,3.58,4.29
64,3.8,4
65,4,3.6
66,3.86,3.87
67,3.71,3.91
68,3.74,3.56
69,4.24,3.6
70,4.6,3.91
71,4.4,3.67
72,3.41,3.09
73,3.32,3.29
74,4,4.09
75,3.37,3.22
76,4,4
77,2.93,3.43
78,4.16,4.19
79,2.33,2.72
80,3.12,4
81,3.66,3.71
82,4.33,2.5
83,3.71,3.27
84,3.65,3.67
85,3.17,3.5
86,3.46,3.39
87,3.14,3.25
88,3.67,2.77
89,4.75,4.35
90,3.67,4
91,4.18,4.52
92,3,2.89
93,3.71,3.5
94,3.68,2.93
95,4.08,3.84
96,4.25,4
97,2.87,3.02
98,4.43,3.9
99,3.81,2.38
100,3.43,4
101,2.5,4.06
102,4.04,3.85
103,3.44,3.23
104,4.1,4.03
105,3.35,3.17
106,3.2,4.17
107,2.17,3
108,3.8,4
109,4.3,3.7
110,4.25,3.85
111,3.45,3.41
112,4,4
113,4.4,5
114,4.75,4
115,4.1,4.25
116,4.17,3.75
117,4.18,0.5
118,4.12,3.65
119,3.68,3.14
120,3.26,3.54
121,4.04,3.91
122,3.09,2.75
123,4,3.83
124,3.77,4.14
125,4.13,3.54
126,3.41,3.56
127,4.22,3
128,3.99,3.77
129,3.4,2
130,3.39,3.18
131,3.92,4
132,4.2,3.71
133,2.41,1.71
134,3.65,4.21
135,1,1
136,3.75,3.95
137,3.67,4.08
138,2.42,2.98
139,3,3.77
140,3.12,3.7
141,3,2.67
142,2.6,2.57
143,4.5,2.55
144,3.6,3.83
145,4.83,4.38
146,2.93,3.59
147,3.67,3.5
148,4.19,3.71
149,3.74,3.34
150,3.14,3.02
151,3.69,4.18
152,3.25,3.82
153,4.15,4
154,3.71,4.25
155,3.6,3.58
156,4.56,3.17
157,3.36,3.43
158,1.5,2.5
159,3.6,3.81
160,4.09,2.5
161,3.65,3.45
162,3.29,3
163,3.89,2.83
164,3.7,3.38
165,2.91,2.99
166,3.25,3.39
167,4,3.87
168,3.25,3.24
169,3.86,4.37
170,3,2.5
171,4.5,3
172,3.4,3
173,4.43,4
174,3.44,3.17
175,3.53,4
176,3.06,3.04
177,4.2,3.78
178,3.36,3.59
179,3.86,2.5
180,4,4
181,4.5,4
182,4.03,4
183,4,3.5
184,3.5,3.33
185,3.71,3.47
186,3.07,4.21
187,3.78,3
188,3.68,3.19
189,2.48,2.4
190,3.82,4
191,3.25,2.67
192,3.62,2.8
193,4.13,3.67
194,3.62,3.38
195,2.9,2.84
196,3.95,3.71
197,3.4,4.13
198,4.46,4.67
199,3.52,3.58
200,3.06,3.4
201,4.1,4.33
202,3.86,3.68
203,3.33,4.5
204,3.35,3.83
205,3.47,3.41
206,3,3.55
207,1.68,1.57
208,3.96,3.7
209,3.2,2
210,2.88,3.33
211,4.18,4
212,3.26,2.97
213,2.44,2.9
214,3.75,4.02
215,3.92,3.62
216,4.33,4.27
217,4.19,4.17
218,3.6,3.85
219,3.65,3.8
220,3.53,2.85
221,2.83,3
